Neighborhood,Link,Lat,Lon
Angelino Heights,"https://en.wikipedia.org/wiki/Angelino_Heights,_Los_Angeles",34.070288899999994,-118.25479650000001
Arleta,"https://en.wikipedia.org/wiki/Arleta,_Los_Angeles",34.2413266,-118.4322047
Arlington Heights,"https://en.wikipedia.org/wiki/Arlington_Heights,_Los_Angeles",34.128556599999996,-118.1529994
Arts District,"https://en.wikipedia.org/wiki/Arts_District,_Los_Angeles",34.041238899999996,-118.2344503
Atwater Village,"https://en.wikipedia.org/wiki/Atwater_Village,_Los_Angeles",34.1163979,-118.25646370000001
Baldwin Hills,"https://en.wikipedia.org/wiki/Baldwin_Hills,_Los_Angeles",34.007568400000004,-118.3505956
Baldwin Hills/Crenshaw,"https://en.wikipedia.org/wiki/Baldwin_Hills/Crenshaw,_Los_Angeles",34.0231764,-118.33424785873699
Baldwin Village,"https://en.wikipedia.org/wiki/Baldwin_Village,_Los_Angeles",34.0194565,-118.34590959999998
Beachwood Canyon,"https://en.wikipedia.org/wiki/Beachwood_Canyon,_Los_Angeles",34.1222919,-118.3213845
Bel Air,"https://en.wikipedia.org/wiki/Bel_Air,_Los_Angeles",34.0827278,-118.44798020000002
Benedict Canyon,"https://en.wikipedia.org/wiki/Benedict_Canyon,_Los_Angeles",34.0447702,-118.4000223
Beverly Glen,"https://en.wikipedia.org/wiki/Beverly_Glen,_Los_Angeles",34.1077855,-118.4456361
Beverly Grove,"https://en.wikipedia.org/wiki/Beverly_Grove,_Los_Angeles",-34.9375839,-54.91578539999999
Beverly Park,"https://en.wikipedia.org/wiki/Beverly_Park,_Los_Angeles",34.06376935,-118.264689598988
Beverlywood,"https://en.wikipedia.org/wiki/Beverlywood,_Los_Angeles",34.0466335,-118.39503799999999
Boyle Heights,"https://en.wikipedia.org/wiki/Boyle_Heights,_Los_Angeles",34.033165600000004,-118.20486480000001
Brentwood,"https://en.wikipedia.org/wiki/Brentwood,_Los_Angeles",34.0521403,-118.4740699
Brentwood Circle,"https://en.wikipedia.org/wiki/Brentwood_Circle,_Los_Angeles",34.0521403,-118.4740699
Brookside,"https://en.wikipedia.org/wiki/Brookside,_Los_Angeles",14.5875603,121.12473259999999
Bunker Hill,"https://en.wikipedia.org/wiki/Bunker_Hill,_Los_Angeles",34.055065899999995,-118.2512228
Canoga Park,"https://en.wikipedia.org/wiki/Canoga_Park,_Los_Angeles",34.2010776,-118.5978259
Canterbury Knolls,"https://en.wikipedia.org/wiki/Harvard_Park,_Los_Angeles",33.8427596,-118.12973131412599
Carthay,"https://en.wikipedia.org/wiki/Carthay,_Los_Angeles",34.056121399999995,-118.37341090000001
Castle Heights,"https://en.wikipedia.org/wiki/Castle_Heights,_Los_Angeles",32.534063,-96.85186
Central-Alameda,"https://en.wikipedia.org/wiki/Central-Alameda,_Los_Angeles",25.47649445,-108.095529502082
Century City,"https://en.wikipedia.org/wiki/Century_City,_Los_Angeles",34.057426299999996,-118.4147267
Chatsworth,"https://en.wikipedia.org/wiki/Chatsworth,_Los_Angeles",34.2595715,-118.6023247
Cheviot Hills,"https://en.wikipedia.org/wiki/Cheviot_Hills,_Los_Angeles",34.04555415,-118.40949350297701
Chinatown,"https://en.wikipedia.org/wiki/Chinatown,_Los_Angeles",34.0634589,-118.2360497
Civic Center,"https://en.wikipedia.org/wiki/Civic_Center,_Los_Angeles",34.0575607,-118.24680989487601
Crenshaw,"https://en.wikipedia.org/wiki/Crenshaw,_Los_Angeles",33.925212200000004,-118.32652949999999
