Neighborhood,Lat,Lon,Type
Angelino Heights,34.078103415800804,-118.26157508658508,French Restaurant
Angelino Heights,34.066297999999996,-118.25391699999999,Sushi Restaurant
Angelino Heights,34.06019026649661,-118.25779296419628,Mexican Restaurant
Angelino Heights,34.07820476300513,-118.2611142667428,Mexican Restaurant
Angelino Heights,34.07424337502603,-118.2522421389902,Breakfast Spot
Angelino Heights,34.07780182922371,-118.2614400448292,Diner
Angelino Heights,34.07793586324565,-118.25963194370927,Mexican Restaurant
Angelino Heights,34.074249,-118.252389,Food
Angelino Heights,34.076074,-118.256035,Food
Angelino Heights,34.077499,-118.257004,Food
Angelino Heights,34.06522834678868,-118.24777703626576,Mexican Restaurant
Angelino Heights,34.069528,-118.265764,Food
Angelino Heights,34.077738000000004,-118.261344,Restaurant
Angelino Heights,34.07614052295685,-118.26402282714844,Latin American Restaurant
Arleta,34.234196000000004,-118.440353,Mexican Restaurant
Arleta,34.234512920386145,-118.44046233456625,Thai Restaurant
Arleta,34.240076,-118.436415,Food
Arleta,34.232498172353665,-118.4385433060873,Latin American Restaurant
Arleta,34.234479,-118.440577,Thai Restaurant
Arleta,34.23172916948396,-118.43818965424295,Latin American Restaurant
Arlington Heights,34.12455227600199,-118.15003787829467,American Restaurant
Arlington Heights,34.13466000118036,-118.14713068529244,Burger Joint
Arlington Heights,34.137489771425905,-118.15352317713487,Mexican Restaurant
Arlington Heights,34.134631,-118.1474,Food
Arlington Heights,34.1363217720996,-118.1523881435969,Thai Restaurant
Arts District,34.034133000000004,-118.229688,New American Restaurant
Arts District,34.03577325089097,-118.23270859127025,Bar
Arts District,34.03967,-118.238089,Department Store
Arts District,34.045516129376274,-118.23669830397141,Bar
Arts District,34.048961479107724,-118.23866128921509,Other Nightlife
Arts District,34.047605,-118.226931,Food
Arts District,34.04697539015194,-118.23837608959384,Japanese Restaurant
Arts District,34.04460906982422,-118.24478149414062,American Restaurant
Arts District,34.047317,-118.22578200000001,Food
Arts District,34.033353000000005,-118.244823,Mexican Restaurant
Arts District,34.050188,-118.240606,Japanese Restaurant
Arts District,34.049832,-118.240224,Japanese Restaurant
Arts District,34.050088,-118.240379,Asian Restaurant
Arts District,34.04895545821701,-118.23994019816385,Karaoke Bar
Arts District,34.05006621612129,-118.2406199178049,Sushi Restaurant
Arts District,34.04049182035547,-118.2448189705888,Breakfast Spot
Arts District,34.046825,-118.238849,Japanese Restaurant
Arts District,34.048705509160435,-118.24073584240014,Japanese Restaurant
Arts District,34.046112353490656,-118.23425978422165,Gastropub
Arts District,34.04522585461128,-118.23852261980285,Japanese Restaurant
Arts District,34.04818710374489,-118.23915242401041,Ramen Restaurant
Arts District,34.04567,-118.23707,Food
Arts District,34.045228569614004,-118.23852597243528,Japanese Restaurant
Arts District,34.049807074522434,-118.24020195051503,Udon Restaurant
Arts District,34.03971,-118.243407,Seafood Restaurant
Arts District,34.04849948927866,-118.24042367562427,Japanese Restaurant
Arts District,34.048358,-118.240297,Japanese Restaurant
Arts District,34.04526388040442,-118.23856290288067,Noodle House
Arts District,34.05010420723292,-118.24066170181835,Bar
Arts District,34.04852682809243,-118.24049950138306,Sushi Restaurant
Arts District,34.048595893192,-118.24056962179604,Japanese Restaurant
Atwater Village,34.116669326534755,-118.26188182768563,Latin American Restaurant
